team,season_year,name,team,team_id,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2010,NYR,NYR,3,Team Level,other,82,0.55,0.54,0.57,12152,143.16,24.47,10.47,26.86,4.84,81.69,52.67,23.39,24.47,23.39,143,58,60,261,21,11,1,28,5,59,77,122,180,12,52,117,60,39,17,117,53,31,3.88,6.44,14.15,2,9,10,261,201,201,9,3.03,2.41,1.54,25.96,25.96,24.89,107.85,19.8,7.05,19.74,3.34,55.24,43.84,19.31,19.8,19.31,111,38,77,226,17,3,0,18,3,42,66,94,132,12,30,125,55,23,26,81,42,26,2.74,4.87,12.19,0,3,14,226,149,149,14,1.98,0.96,0.96,20.81,20.81,20.48
NYR,2010,NYR,NYR,3,Team Level,all,82,0.53,0.49,0.51,299506,2456.36,233.69,173.66,544.12,79.19,1362.25,1000.09,223.03,234.23,223.58,2453,940,1079,4472,224,186,40,587,98,1083,1215,2229,3169,364,938,2195,2333,604,446,2491,696,206,77.06,83.84,72.78,75,74,75,4473.93,3393,3389.01,243,38.34,39.12,40.23,231.8,232.23,225.43,2366.48,206.24,160.42,536.11,76.45,1331.6,994.17,198.98,206.32,199.02,2410,895,1301,4606,195,146,43,512,87,1092,1273,2215,3110,401,1048,2404,2218,554,559,2558,553,194,71.16,67.46,67.63,65,57,73,4602.05,3305,3306.59,332,35,34.39,35.73,205.51,205.51,201.38
NYR,2010,NYR,NYR,3,Team Level,5on5,82,0.54,0.49,0.5,235211,1897.34,159.63,128.39,435.22,60.55,1039.92,787.29,155.02,160.16,155.57,1875,736,844,3455,150,138,29,467,77,837,942,1725,2461,313,805,1626,2069,469,331,1971,521,119,61.98,63.32,34.33,61,50,39,3456.93,2611,2607.01,194,26.47,28.22,29.39,156.71,157.14,154.63,1849.52,138.69,119.45,439.28,60.26,1042.46,782.86,134.51,138.79,134.55,1883,700,1004,3587,137,108,31,422,76,847,993,1746,2446,350,938,1774,2005,439,449,2062,409,112,57.07,50.2,31.43,56,45,36,3583.05,2583,2584.58,274,24.46,23.16,24.48,138.67,138.66,136.52
NYR,2010,NYR,NYR,3,Team Level,4on5,82,0.13,0.13,0.13,24527,55.17,5.92,2.83,6.97,1.6,15.89,40.79,5.66,5.92,5.66,56,18,24,98,9,5,3,8,3,9,40,47,65,15,30,181,134,66,31,52,13,9,1.54,1.61,2.76,3,1,5,98,74,74,29,0.66,1.42,1.42,5.16,5.16,5.14,337.84,41.05,30.49,67.84,10.78,213.17,111.67,38.49,41.05,38.49,341,134,198,673,37,34,12,65,7,190,142,304,438,20,38,255,49,29,54,343,84,48,9.43,9.98,21.64,7,7,23,673,475,475,16,7.76,10.22,10.23,38.59,38.59,36.93
NYR,2010,NYR,NYR,3,Team Level,5on4,82,0.87,0.85,0.84,27616,360.69,43.67,31.97,75.06,12.21,224.73,119.35,38.95,43.67,38.95,379,128,151,658,44,32,7,84,13,178,156,335,463,24,51,271,70,30,67,351,109,47,9.66,12.46,21.55,9,14,21,658,507,507,11,8.2,7.07,7.89,43.97,43.97,40.77,71.28,6.69,3.43,9.25,2.08,20.74,55.81,6.68,6.69,6.68,75,23,22,120,4,1,0,7,1,13,72,71,94,19,42,250,109,63,30,72,18,8,1.92,2.41,2.36,2,2,0,120,98,98,28,0.8,0.05,0.05,7.45,7.45,7.44
PHI,2010,PHI,PHI,4,Team Level,other,82,0.54,0.52,0.53,11211,167.89,31.9,11.12,31.94,5.38,84.69,64.97,30.67,31.9,30.67,167,63,71,301,29,14,1,26,1,73,87,138,201,27,74,166,58,31,26,124,55,51,4.18,6.5,21.22,5,6,18,301,230,230,15,3.13,3.98,3.98,31.05,31.05,30.28,152.43,26.65,9.66,28.79,5.04,81.33,56.53,25.67,26.65,25.67,155,53,69,277,29,7,1,31,1,72,68,126,179,22,48,153,48,31,30,123,45,40,4.54,5.38,16.74,7,6,16,277,208,208,17,2.84,2.72,2.72,26.78,26.78,26.11
PHI,2010,PHI,PHI,4,Team Level,all,82,0.52,0.5,0.51,299296,2569.97,246.12,175.3,585.94,83.04,1383.05,1082.55,237.02,247.93,238.73,2605,951,1208,4764,256,198,42,589,60,1100,1353,2349,3300,402,999,2484,1905,568,655,2631,649,276,74.67,78.42,93.04,70,91,95,4817.97,3556,3593.12,455,38.88,46.88,47.31,237.7,239.29,234.89,2522.19,223.1,168.69,580.4,81.14,1383.95,1048.72,215.83,222.02,214.8,2471,1015,1317,4803,216,187,34,636,48,1085,1314,2255,3270,381,957,2454,1777,639,663,2663,602,221,76.53,72.88,73.69,78,64,74,4735.79,3486,3447.19,425,37.23,41.15,41.47,218.85,217.65,213.5
PHI,2010,PHI,PHI,4,Team Level,5on5,82,0.51,0.49,0.5,231012,1935.54,157.46,124.61,462.03,62.54,1047.3,822.06,152.33,159.27,154.05,1981,695,913,3589,174,140,32,477,42,831,1012,1807,2502,330,824,1796,1690,434,519,2049,478,149,57.75,57.37,42.34,56,72,46,3642.97,2676,2713.12,380,25.68,31.61,32.01,151.13,152.72,150.8,1941.54,154.37,123.31,465.57,62.2,1055.95,820.6,149.88,153.29,148.86,1905,777,1015,3697,142,145,23,526,37,821,1011,1763,2540,319,817,1807,1589,499,488,2089,462,131,61.13,55.8,37.44,66,45,31,3629.79,2682,2643.19,324,25.34,30.57,30.9,148.81,147.61,145.48
PHI,2010,PHI,PHI,4,Team Level,4on5,82,0.18,0.17,0.19,28869,85.12,8.43,4.02,10.7,2.45,23.74,73.65,8.37,8.43,8.37,92,31,23,146,12,2,1,10,1,15,83,80,111,16,35,246,114,72,58,92,18,13,2.36,2.13,3.93,3,3,6,146,123,123,52,0.94,0.65,0.65,8.72,8.72,8.71,368.03,37.82,33.4,78.19,12.15,229.65,121.79,36.03,37.82,36.03,347,166,209,722,42,34,10,75,9,184,169,305,471,21,45,271,45,33,73,381,87,45,9.09,10.49,18.25,5,12,25,722,513,513,16,8.49,7.82,7.82,38.5,38.5,37.16
PHI,2010,PHI,PHI,4,Team Level,5on4,82,0.92,0.87,0.86,28204,381.43,48.34,35.54,81.27,12.65,227.32,121.87,45.65,48.34,45.65,365,162,201,728,41,42,8,76,16,181,171,324,486,29,66,276,43,31,52,366,98,63,10.38,12.42,25.54,6,10,25,728,527,527,8,9.13,10.65,10.67,46.79,46.79,45.1,60.2,4.26,2.34,7.85,1.74,17.03,49.79,4.25,4.26,4.25,64,19,24,107,3,1,0,4,1,8,66,61,80,19,47,223,95,76,72,70,8,5,1.78,1.21,1.26,0,1,2,107,83,83,68,0.55,0.04,0.04,4.76,4.76,4.76
