team_id,shortName,teamName,abbreviation,BackgroundColor,FontFolor,MainColor,AccentColor,PrimaryColor,SecondaryColor,Color3,Color4,Color5,Color6,Color7,Color8,Color9,LogoUrl,WordMarkURL,LogoURLDark,LogoURLLight,NHLWordMarkURL,URL
17,Detroit,Red Wings,DET,#c9102f,#ffffff,#c9102f,#FFFFFF,#CE1126,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/11/thumbs/yo3wysbjtagzmwj37tb11u0fh.gif,https://content.sportslogos.net/logos/1/11/full/3qo2e62mvhygshx5z9wpetqrr.gif,https://assets.nhle.com/logos/nhl/svg/DET_dark.svg,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/redwings/logos/det-wordmark,https://www.nhl.com/redwings/
22,Edmonton,Oilers,EDM,#01205b,#ffffff,#01205b,#FF4C00,#041E42,#FF4C00,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/12/thumbs/1229852023.gif,https://content.sportslogos.net/logos/1/12/full/edmonton_oilers_logo_wordmark_2023_sportslogosnet-1952.png,https://assets.nhle.com/logos/nhl/svg/EDM_dark.svg,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/oilers/logos/edm-wordmark,https://www.nhl.com/oilers/
13,Florida,Panthers,FLA,#c8102d,#ffffff,#c8102d,#041E42,#041E42,#C8102E,#B9975B,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/13/thumbs/1380782017.gif,https://content.sportslogos.net/logos/1/13/full/1924_florida_panthers-wordmark-2017.png,https://assets.nhle.com/logos/nhl/svg/FLA_dark.svg,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/panthers/logos/fla-wordmark,https://www.nhl.com/panthers/
26,Los Angeles,Kings,LAK,#000000,#ffffff,#000000,#A2AAAD,#111111,#A2AAAD,#FFFFFF,#572A84,#FFC80C,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/14/thumbs/1422202020.gif,https://content.sportslogos.net/logos/1/14/full/9121_los_angeles_kings-wordmark-2012.png,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/kings/logos/lak-wordmark,https://www.nhl.com/kings/
30,Minnesota,Wild,MIN,#144733,#ffffff,#144733,#A6192E,#A6192E,#C8102E,#EAAA00,#DDCBA4,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/15/thumbs/1588102014.gif,https://content.sportslogos.net/logos/1/15/full/j9b22ahk9rt26jxeqyd1bd5xs.gif,https://assets.nhle.com/logos/nhl/svg/MIN_dark.svg,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/wild/logos/min-wordmark,https://www.nhl.com/wild/
8,Montreal,Canadiens,MTL,#a6192e,#ffffff,#a6192e,#192168,#AF1E2D,#192168,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/16/thumbs/124.gif,https://content.sportslogos.net/logos/1/16/full/47hn5bbx2pgf901creoorvoo9.gif,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/canadiens/logos/mtl-wordmark_v2,https://www.nhl.com/canadiens/
18,Nashville,Predators,NSH,#ffb81d,#ffffff,#ffb81d,#041E42,#FFB81C,#041E42,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/17/thumbs/lvchw3qfsun2e7oc02kh2zxb6.gif,https://content.sportslogos.net/logos/1/17/full/dzh6fs12jk4gddgfd123hlxft.gif,https://assets.nhle.com/logos/nhl/svg/NSH_dark.svg,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/predators/logos/nsh-wordmark,https://www.nhl.com/predators/
1,New Jersey,Devils,NJD,#cc0600,#ffffff,#cc0600,#000000,#CE1126,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/18/thumbs/32tfs723a3bes0p0hb4hgcy1u.gif,https://content.sportslogos.net/logos/1/18/full/lonn72rebr1xfgdep10ajjpuf.gif,https://assets.nhle.com/logos/nhl/svg/NJD_dark.svg,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/devils/logos/njd-wordmark,https://www.nhl.com/devils/
2,NY Islanders,Islanders,NYI,#00458b,#ffffff,#00458b,#fc4e03,#00539B,#fc4e03,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/19/thumbs/1939112018.gif,https://content.sportslogos.net/logos/1/19/full/888.gif,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/islanders/logos/nyi-wordmark,https://www.nhl.com/islanders/
3,NY Rangers,Rangers,NYR,#0433a0,#ffffff,#0433a0,#CE1126,#0038A8,#CE1126,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/20/thumbs/144.gif,https://content.sportslogos.net/logos/1/20/full/147.gif,https://assets.nhle.com/logos/nhl/svg/NYR_dark.svg,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/rangers/logos/nyr-wordmark-2_ik1prh,https://www.nhl.com/rangers/
9,Ottawa,Senators,OTT,#000000,#ffffff,#000000,#DA1A32,#000000,#DA1A32,#B79257,#FFFFFF,#C52032,#C2912C,#000000,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/21/thumbs/2111292021.gif,https://content.sportslogos.net/logos/1/21/full/obt4nmgk2nq4t58gb3hmy40oi.gif,https://assets.nhle.com/logos/nhl/svg/OTT_dark.svg,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/senators/logos/ott-wordmark,https://www.nhl.com/senators/
4,Philadelphia,Flyers,PHI,#000000,#ffffff,#000000,#cc461d,#cc461d,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/22/thumbs/2231452024.gif,https://content.sportslogos.net/logos/1/22/full/2303_philadelphia_flyers-wordmark-2017.png,https://assets.nhle.com/logos/nhl/svg/PHI_dark.svg,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/flyers/logos/phi-wordmark,https://www.nhl.com/flyers/
5,Pittsburgh,Penguins,PIT,#000000,#ffffff,#000000,#CFC493,#000000,#CFC493,#FCB514,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,https://content.sportslogos.net/logos/1/24/thumbs/2463622017.gif,https://content.sportslogos.net/logos/1/5263/full/2177_arizona_coyotes-wordmark-2016.png,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,https://media.d3.nhle.com/image/private/t_q-best/prd/assets/penguins/logos/pit-wordmark,https://www.nhl.com/penguins/
